150.109.247.86:8443 #kr
123.58.219.171:10808 #hk
202.181.24.102:10801 #hk
107.167.18.122:443 #us
165.154.20.187:10808 #hk
101.36.104.46:10808 #jp
67.201.39.14:4145 #us
68.71.240.210:4145 #us
67.201.59.70:4145 #us
192.252.220.89:4145 #us
68.71.241.33:4145 #us
142.54.229.249:4145 #us
45.194.33.12:30001 #hk
68.71.254.6:4145 #us
142.54.237.34:4145 #us
104.37.135.145:4145 #us
68.71.245.206:4145 #us
199.102.105.242:4145 #us
199.116.114.11:4145 #us
101.36.104.239:10808 #jp
206.220.175.2:4145 #us
104.200.135.46:4145 #us
107.150.41.226:18080 #us
68.71.249.158:4145 #us
142.54.228.193:4145 #us
104.200.152.30:4145 #us
113.249.111.67:1080 #cn
199.102.106.94:4145 #us
68.71.251.134:4145 #us
142.54.232.6:4145 #us
68.71.242.118:4145 #us
68.71.243.14:4145 #us
34.84.162.206:38081 #jp
171.234.162.101:1085 #vn
199.102.107.145:4145 #us
192.252.220.92:17328 #us
199.187.210.54:4145 #us
135.125.232.151:1080 #de
107.181.161.81:4145 #us
142.54.239.1:4145 #us
68.71.249.153:48606 #us
209.50.255.91:1080 #us
107.181.168.145:4145 #us
103.88.234.239:40006 #mx
185.87.255.54:1080 #gb
68.71.252.38:4145 #us
142.54.226.214:4145 #us
107.152.98.5:4145 #us
111.206.4.163:18888 #cn
57.128.231.218:1006 #pl
57.128.231.218:1001 #pl
198.8.84.3:4145 #us
57.128.231.218:1002 #pl
162.253.68.97:4145 #us
103.88.234.239:40002 #mx
49.13.22.249:10809 #de
104.245.245.218:1080 #pl
5.181.158.54:1080 #md
192.111.134.10:4145 #us
192.252.216.86:4145 #us
199.66.182.232:4145 #us
184.170.248.5:4145 #us
199.116.112.6:4145 #us
192.252.208.67:14287 #us
192.252.214.20:15864 #us
192.111.130.5:17002 #us
192.111.139.162:4145 #us
192.111.137.35:4145 #us
198.8.94.174:39078 #us
192.111.137.37:18762 #us
192.252.208.70:14282 #us
199.58.185.9:4145 #us
14.225.68.207:1337 #vn
38.190.208.53:1080 #hk
192.252.215.5:16137 #us
199.229.254.129:4145 #us
67.201.33.10:25283 #us
192.111.129.150:4145 #us
192.252.210.233:4145 #gb
57.128.231.218:1000 #pl
199.102.104.70:4145 #us
98.170.57.249:4145 #us
68.1.210.189:4145 #us
72.194.42.156:4145 #us
72.206.74.126:4145 #us
152.53.183.107:8081 #de
24.249.199.12:4145 #us
192.111.139.165:4145 #us
192.111.139.163:19404 #us
98.170.57.241:4145 #us
192.252.211.193:4145 #us
184.178.172.11:4145 #us
98.188.47.150:4145 #us
68.1.210.163:4145 #us
67.207.92.87:1088 #us
192.111.135.18:18301 #us
98.181.137.83:4145 #us
24.249.199.4:4145 #us
72.214.108.67:4145 #us
98.191.0.47:4145 #us
